name,diameter,e,a,q,i,per_y
Kartvelia,72.927,.1162211593670748,3.218956142514857,2.844845327680013,19.14884731651921,5.77538301927922
Nora,38.719,.2301510710294221,2.34193436470443,1.802935662387096,9.342382355033905,3.58401881781927
Pickeringia,75.596,.2425808053895215,3.095399064857963,2.344514666702747,12.2902307227356,5.44606941920182
Zwetana,49.460,.2109924470917314,2.569438713082165,2.02730655135673,12.76963269222028,4.1187515665852
Bredichina,108.309,.1604982399309818,3.17550455098365,2.665841659657952,14.51758477229835,5.65883865499559
Moskva,27.927,.1301253973255005,2.538874060841921,2.208502064915459,14.85151405689151,4.04547889699377
Hohensteina,111.295,.1333036307372809,3.124795688071573,2.708249077539433,14.33714169889075,5.5238342974755
Lena,22.483,.1473819765716861,2.685901865190691,2.290048339421308,10.78157614336204,4.40193285218899
Pretoria,170.37,.1516273778065543,3.410643114096256,2.89349624207186,20.53094782279959,6.29886961711245
Ani,116.865,.1952598559104021,3.121560788959042,2.512045279091338,16.37533203767429,5.51525881463551
Metcalfia,61.804,.1302488291109644,2.623536103451031,2.281823597846192,8.616266248754243,4.24950916136777
Arizona,26.636,.1251958422799707,2.795149256072123,2.445208190659939,15.78821061866145,4.67321441202895
Irenaea,35.703,.2965758516406698,3.127152329665717,2.199714464285002,5.41889519401387,5.5300843789497
Fini,85.263,.1030597660818862,2.749736055209095,2.466348900572318,19.06037780625949,4.55978866533953
Sarita,43.580,.3202406218638117,2.634843483557443,1.791059567869196,19.05233236699366,4.27701167179751
Montana,21.197,.06147004092532721,2.535758105699723,2.379884951165631,4.510969191219162,4.03803367009842
Ruth,43.19,.03569498446844349,3.013826000642958,2.906247528359417,9.23942156398711,5.23221359812203
Gudula,47.185,.0222526860247215,2.541124828836425,2.484577975870704,5.28224488965442,4.0508596988471
Helwerthia,32.404,.07811650407030096,2.60413656676982,2.400710522052126,14.1300192800271,4.20246239645046
Picka,46.50,.06513543609543426,3.196767586337896,2.988544735506028,8.675447763665581,5.71577068645373
Hispania,137.952,.1398325490260523,2.838360313960206,2.441465156204765,15.39456004151292,4.78199911138304
Hormuthia,73.095,.1874343301182406,3.191531793292757,2.593329169565862,15.72843180855827,5.70173416306936
Gyldenia,83.103,.07514481153167453,3.208498838790467,2.967396798249961,14.24065842830737,5.74726247908027
